Day,Vehicle Hours Traveled,# Lane Points,% Observed
7/2/2020 0:00,"358,756.82",614866,54.10
7/3/2020 0:00,"304,684.28",614880,53.90
7/4/2020 0:00,"234,395.25",614873,54.20
7/5/2020 0:00,"241,209.03",614880,53.30
7/6/2020 0:00,"306,266.14",614873,53.70
7/7/2020 0:00,"320,034.23",614880,53.90
7/8/2020 0:00,"324,515.40",614763,53.70
7/9/2020 0:00,"350,132.72",614818,25.40
7/10/2020 0:00,"350,867.67",614880,42.20
7/11/2020 0:00,"287,220.01",614880,53.60
7/12/2020 0:00,"248,806.58",614880,53.30
7/13/2020 0:00,"315,974.83",614880,53.70
7/14/2020 0:00,"325,592.37",614880,54.50
7/15/2020 0:00,"327,119.91",614873,54.20
7/16/2020 0:00,"336,017.82",614873,53.30
7/17/2020 0:00,"352,337.84",614880,53.80
7/18/2020 0:00,"284,311.13",614880,53.20
7/19/2020 0:00,"245,614.98",614880,52.90
7/20/2020 0:00,"313,706.76",614880,53.20
7/21/2020 0:00,"321,852.28",614880,53.50
7/22/2020 0:00,"325,868.66",614880,53.70
7/23/2020 0:00,"328,713.60",614880,52.60
7/24/2020 0:00,"355,711.04",614880,53.70
7/25/2020 0:00,"285,623.52",614880,52.30
7/26/2020 0:00,"249,037.85",614880,50.10
7/27/2020 0:00,"315,168.66",614880,52.70
7/28/2020 0:00,"321,393.08",614880,52.40
7/29/2020 0:00,"331,059.52",614880,52.60
7/30/2020 0:00,"339,722.29",614880,52.20
7/31/2020 0:00,"364,483.75",614880,52.30
8/1/2020 0:00,"291,560.78",614880,44.60
8/2/2020 0:00,"253,552.79",614880,51.90
8/3/2020 0:00,"321,048.41",614880,51.60
8/4/2020 0:00,"327,499.58",614880,50.40
8/5/2020 0:00,"333,593.88",614880,51.40
8/6/2020 0:00,"341,879.62",614880,51.70
8/7/2020 0:00,"365,937.13",614880,49.60
8/8/2020 0:00,"292,158.95",614880,51.80
8/9/2020 0:00,"257,232.05",614880,52.10
8/10/2020 0:00,"315,417.40",614873,51.70
8/11/2020 0:00,"328,333.42",614880,52.70
8/12/2020 0:00,"328,181.32",614880,53.00
8/13/2020 0:00,"338,830.15",614880,51.70
8/14/2020 0:00,"359,586.36",614880,52.10
8/15/2020 0:00,"290,222.28",614880,51.90
8/16/2020 0:00,"243,398.27",614880,49.90
8/17/2020 0:00,"310,974.89",614880,51.20
8/18/2020 0:00,"314,642.37",614880,50.80
8/19/2020 0:00,"333,966.49",614880,51.70
8/20/2020 0:00,"329,763.06",617472,52.20
8/21/2020 0:00,"356,820.55",617472,53.00
8/22/2020 0:00,"284,535.22",617472,53.20
8/23/2020 0:00,"240,162.85",617472,51.80
8/24/2020 0:00,"311,376.62",617472,53.10
8/25/2020 0:00,"320,563.49",617472,51.50
8/26/2020 0:00,"329,728.55",617472,52.60
8/27/2020 0:00,"339,096.87",617472,52.70
8/28/2020 0:00,"364,681.29",617472,52.50
8/29/2020 0:00,"295,712.74",617472,52.40
8/30/2020 0:00,"255,932.36",617472,52.00
8/31/2020 0:00,"314,843.96",617472,52.20
9/1/2020 0:00,"323,958.29",617472,51.70
9/2/2020 0:00,"334,683.57",617472,52.10
9/3/2020 0:00,"345,426.39",617472,51.50
9/4/2020 0:00,"369,896.50",617472,52.00
9/5/2020 0:00,"293,578.40",617472,52.10
9/6/2020 0:00,"254,331.19",617472,50.50
9/7/2020 0:00,"260,707.98",617472,50.70
9/8/2020 0:00,"325,735.17",617472,51.00
9/9/2020 0:00,"330,215.90",617472,51.50
9/10/2020 0:00,"331,153.65",617472,51.60
9/11/2020 0:00,"341,632.16",617472,51.20
9/12/2020 0:00,"275,168.63",617472,53.10
9/13/2020 0:00,"231,722.51",617472,51.70
9/14/2020 0:00,"315,486.17",617472,52.70
9/15/2020 0:00,"317,462.49",617472,52.40
9/16/2020 0:00,"318,900.45",617472,53.00
9/17/2020 0:00,"331,790.20",617472,52.30
9/18/2020 0:00,"360,600.12",617465,52.50
9/19/2020 0:00,"303,203.67",617472,52.60
9/20/2020 0:00,"251,760.68",617472,52.40
9/21/2020 0:00,"312,284.01",617472,49.80
9/22/2020 0:00,"316,012.95",617472,50.70
9/23/2020 0:00,"322,086.87",617472,52.20
9/24/2020 0:00,"329,800.97",617472,50.60
9/25/2020 0:00,"359,262.23",617472,51.40
9/26/2020 0:00,"302,241.22",617467,52.60
9/27/2020 0:00,"254,632.77",617472,52.50
9/28/2020 0:00,"316,106.45",617472,52.10
9/29/2020 0:00,"317,536.87",617472,52.30
9/30/2020 0:00,"329,687.22",617472,51.90
